customer_id,nombre,apellidos,email,telefono,fecha_alta_programa,tier_fidelizacion,puntos_acumulados,fecha_nacimiento,genero,ciudad,provincia,codigo_postal,pais,consentimiento_marketing,estado_cliente,fecha_baja,origen_alta,canal_preferido_declarado,ultima_actualizacion
C0001,Bruno,PérezFernández,,+34 662 454 433,23/12/2018,Bronce,3590,25/01/1966,,Sevilla,Sevilla,41001,ES,no,Bloqueado,2024-11-20,,Online,28/06/25 11:38
C0002,Bárbara,MartínezRubio,barbara.martinezrubio@example.com,627112365,07/07/2018,Platino,2241,1992-11-03,F,Gijón,Asturias,33201,ES,1,Inactivo,2025-02-16,tienda,Mixto,2025-01-08 01:51:20
C0003,Rita,NavarroDíaz,rita.navarrodiaz@example.com,,2024-04-18,Plata,2.073,,F,Córdoba,Córdoba,14001,ES,YES,Activo,,,Mixto,2025-09-28 00:43:46
C0004,Moisés,TorresPérez,moises.torresperez@example.com,,2023/09/11,Oro,2073,,No binario,Palma,Illes Balears,07001,ES,0,Activo,,importación,Mixto,02/04/25 07:56
C0005,Laura,OrtizGómez,laura.ortizgomez@example.com,707103679,2020/05/17,VIP,6974,1986-09-08,M,Palma,Illes Balears,07001,ES,N,Activo,,online,Mixto,2025-02-17 07:17:42
C0006,Ignacio,MarínSuárez,IGNACIO.MARINSUAREZ@EXAMPLE.COM,,2022-10-01,Oro,4300,1960-05-15,M,Sevilla,Sevilla,41001,ES,0,Activo,,online,Online,2025-04-06 13:31:30
C0007,Bárbara,GarcíaRamos,barbara.garciaramos@example.com,615-698-989,26/03/2024,Bronce,1696,1959-01-17,F,Granada,Granada,18001,ES,N,Activo,,tienda,,2025-02-19 07:37:38
C0008,Rita,CastroNavarro,rita.castronavarro@example.com,+34 723 020 082,2025-03-28,Bronce,3704,2005-04-12,,Murcia,Murcia,30001,ES,1,Bloqueado,2025-12-19,importación,Online,2025-03-09 03:56:06
C0009,Adrián,TorresDíaz,adrian.torresdiaz@example,+34 670 318 081,14/01/2019,Platino,2.998,,F,Palma,Illes Balears,07001,ES,1,Activo,,tienda,,02/03/25 09:23
C0010,Alejandro,DíazMuñoz,alejandro.diazmunoz@example.com,606653539,27 de Agosto de 2020,Oro,323,1959-12-04,M,Granada,Granada,18001,ES,0,Inactivo,2025-07-31,tienda,Tienda,2025-01-22 06:25:21
C0011,Verónica,DelgadoGil,VERONICA.DELGADOGIL@EXAMPLE.COM,684-202-113,02/01/2020,Bronce,1006,,,Madrid,Madrid,28013,ES,,Bloqueado,07/11/2024,online,Mixto,2025-09-10 21:26:20
C0012,Mónica,RamosRuiz,monica.ramosruiz@example.com,N/A,03/07/2024,Plata,3159,,F,Madrid,Madrid,28013,ES,sí,Inactivo,,tienda,Online,2025-01-08 15:39:54
C0013,Ignacio,HernándezRamos,ignacio.hernandezramos@example.com,N/A,13 de Marzo de 2019,Plata,6547,11/10/1984,,Madrid,Madrid,28013,ES,1,Activo,,tienda,,2025-08-09 07:53:40
C0014,Pablo,RomeroBlanco,pablo.romeroblanco@example.com,+34 709 414 123,2019-09-10,Platino,2087,28/01/1993,,Vigo,Pontevedra,36201,ES,YES,Activo,,,,2025-09-24 23:34:51
